# Generated by tools/wikimedia_images.py --route category on 2026-09-17. Do not edit by hand.
# Source: a Wikimedia Commons category named for each chassis no article describes, via the Commons API.
# The claim is only that Commons editors filed the file there; the build holds these rows at 'catalogued'.
# Each file carries its OWN licence. No image is stored here or in the database.
# chassis_id|category|file_name|repository|licence|licence_url|artist|credit|description_url|width|height|name_matches
talbot-lago-t26c|Category:Talbot-Lago T26 C|File:Talbot Lago T26C of Doug Whiteford.jpg|commons|Public domain||Unknown author Unknown author|The official 50-race history of the Australian Grand Prix|https://commons.wikimedia.org/wiki/File:Talbot_Lago_T26C_of_Doug_Whiteford.jpg|800|529|1
theodore-n183|Category:Theodore N183|File:Roberto Guerrero Theodore N183 2019 Silverstone Classic (48557911782).jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|https://www.flickr.com/photos/davehamster/|https://www.flickr.com/photos/davehamster/48557911782/|https://commons.wikimedia.org/wiki/File:Roberto_Guerrero_Theodore_N183_2019_Silverstone_Classic_(48557911782).jpg|800|465|1
theodore-tr1|Category:Theodore TR1|File:Theodore TR1 2011 Hockenheim Historic Race.jpg|commons|CC BY-SA 3.0|https://creativecommons.org/licenses/by-sa/3.0|Doom Warrior ; Cropped and adjusted by uploader Mr.choppers|img_9221.jpg|https://commons.wikimedia.org/wiki/File:Theodore_TR1_2011_Hockenheim_Historic_Race.jpg|800|421|1
theodore-ty01|Category:Theodore TY01|File:1981 Argentine Grand Prix, Tambay.jpg|commons|Public domain||Unknown author Unknown author|Revista Corsa N.° 776|https://commons.wikimedia.org/wiki/File:1981_Argentine_Grand_Prix,_Tambay.jpg|800|441|0
theodore-ty02|Category:Theodore TY02|File:Lammers at 1982 Dutch Grand Prix (7).jpg|commons|CC BY-SA 3.0 nl|https://creativecommons.org/licenses/by-sa/3.0/nl/deed.en|Hans van Dijk for Anefo / neg. stroken, 1945-1989, 2.24.01.05, item number 932-2327|https://proxy.handle.net/10648/ad1a93ba-d0b4-102d-bcf8-003048976d84|https://commons.wikimedia.org/wiki/File:Lammers_at_1982_Dutch_Grand_Prix_(7).jpg|800|531|0
trojan-t103|Category:Trojan T103|File:Estoril Classic Week 2018 41 - Trojan T103 (Tim Schenken) (30377805137).jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|_morgado|41 - Trojan T103 (Tim Schenken)|https://commons.wikimedia.org/wiki/File:Estoril_Classic_Week_2018_41_-_Trojan_T103_(Tim_Schenken)_(30377805137).jpg|800|600|1
tyrrell-020c|Category:Tyrrell 020C|File:Jean Alesi - Ferrari F193A dives inside Ukyo Katayama - Tyrrell 020C at the 1993 British Grand Prix (33530333172).jpg|commons|CC BY-SA 2.0|https://creativecommons.org/licenses/by-sa/2.0|Martin Lee from London, UK|Jean Alesi - Ferrari F193A dives inside Ukyo Katayama - Tyrrell 020C at the 1993 British Grand Prix|https://commons.wikimedia.org/wiki/File:Jean_Alesi_-_Ferrari_F193A_dives_inside_Ukyo_Katayama_-_Tyrrell_020C_at_the_1993_British_Grand_Prix_(33530333172).jpg|800|534|1
vanwall-vw-5|Category:Vanwall VW5|File:1958 Vanwall VW5 11 (48853385363).jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|Alan Raine from Cheshire|1958 Vanwall VW5_11|https://commons.wikimedia.org/wiki/File:1958_Vanwall_VW5_11_(48853385363).jpg|800|600|1
venturi-lc92|Category:Venturi LC92|File:Venturi Larrousse Lamborghini LC 92 (1992).jpg|commons|CC BY-SA 3.0|https://creativecommons.org/licenses/by-sa/3.0|Liondartois|Own work|https://commons.wikimedia.org/wiki/File:Venturi_Larrousse_Lamborghini_LC_92_(1992).jpg|800|600|0
williams-fw07c|Category:Williams FW07C|File:11 - Williams FW07C 1981.jpg|commons|CC BY 4.0|https://creativecommons.org/licenses/by/4.0|_morgado2|https://www.flickr.com/photos/203235485@N07/54838887971/|https://commons.wikimedia.org/wiki/File:11_-_Williams_FW07C_1981.jpg|800|604|1
wolf-williams-fw05|Category:Wolf-Williams FW05|File:Wolf Williams FW05 Goodwood FoS 2010 01.jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|richard|originally posted to Flickr as goodwood festival of speed 2010|https://commons.wikimedia.org/wiki/File:Wolf_Williams_FW05_Goodwood_FoS_2010_01.jpg|800|506|1
