# Generated by tools/f1db_fetch.py. Do not edit by hand.
# Source: F1DB v2026.13.0 (5d0a446b), https://github.com/f1db/f1db, CC BY 4.0.
# country_id|name|alpha3|demonym
seychelles|Seychelles|SYC|Seychellois
sierra-leone|Sierra Leone|SLE|Sierra Leonean
singapore|Singapore|SGP|Singaporean
sint-maarten|Sint Maarten|SXM|Sint Maartener
slovakia|Slovakia|SVK|Slovakian
slovenia|Slovenia|SVN|Slovenian
solomon-islands|Solomon Islands|SLB|Solomon Islander
somalia|Somalia|SOM|Somali
south-africa|South Africa|ZAF|South African
south-georgia-and-the-south-sandwich-islands|South Georgia and the South Sandwich Islands|SGS|
south-korea|South Korea|KOR|South Korean
south-sudan|South Sudan|SSD|South Sudanese
spain|Spain|ESP|Spanish
sri-lanka|Sri Lanka|LKA|Sri Lankan
sudan|Sudan|SDN|Sudanese
suriname|Suriname|SUR|Surinamese
svalbard-and-jan-mayen|Svalbard and Jan Mayen|SJM|
sweden|Sweden|SWE|Swedish
switzerland|Switzerland|CHE|Swiss
syria|Syria|SYR|Syrian
taiwan|Taiwan|TWN|Taiwanese
tajikistan|Tajikistan|TJK|Tajikistani
tanzania|Tanzania|TZA|Tanzanian
thailand|Thailand|THA|Thai
togo|Togo|TGO|Togolese
tokelau|Tokelau|TKL|Tokelauan
tonga|Tonga|TON|Tongan
trinidad-and-tobago|Trinidad and Tobago|TTO|Trinidadian/Tobagonian
tunisia|Tunisia|TUN|Tunisian
turkey|Turkey|TUR|Turkish
turkmenistan|Turkmenistan|TKM|Turkmenistani
turks-and-caicos-islands|Turks and Caicos Islands|TCA|Turks and Caicos Islander
tuvalu|Tuvalu|TUV|Tuvaluan
uganda|Uganda|UGA|Ugandan
ukraine|Ukraine|UKR|Ukrainian
united-arab-emirates|United Arab Emirates|ARE|Emirati
united-kingdom|United Kingdom|GBR|British
united-states-minor-outlying-islands|United States Minor Outlying Islands|UMI|
united-states-of-america|United States of America|USA|American
united-states-virgin-islands|United States Virgin Islands|VIR|Virgin Islander
uruguay|Uruguay|URY|Uruguayan
uzbekistan|Uzbekistan|UZB|Uzbekistani
vanuatu|Vanuatu|VUT|Ni-Vanuatu
vatican-city|Vatican City|VAT|Vatican
venezuela|Venezuela|VEN|Venezuelan
vietnam|Vietnam|VNM|Vietnamese
wallis-and-futuna|Wallis and Futuna|WLF|Wallisian/Futunan
western-sahara|Western Sahara|ESH|Western Saharan
yemen|Yemen|YEM|Yemeni
zambia|Zambia|ZMB|Zambian
zimbabwe|Zimbabwe|ZWE|Zimbabwean
