# Generated by tools/wikispec_fetch.py on 2026-09-05. Do not edit by hand.
# Source: the per-car articles on en.wikipedia.org, {{Racing car}} infobox. CC BY-SA 4.0.
# Every row was checked against F1DB for constructor and seasons before it was written; see car_specs.log.
# article|chassis_ids|constructor_id|first_year|last_year|designers|chassis_type|susp_front|susp_rear|engine_name|engine_config|aspiration|engine_position|gearbox|gears|brakes|fuel|lubricants|tyres|predecessor|successor|debut|power_note|capacity_cc|power_bhp|weight_kg|wheelbase_mm|track_front_mm|track_rear_mm|fuel_l|races|wins|poles|fastest_laps|podiums|drivers_titles|constructors_titles
Ferrari 642|ferrari-642+ferrari-642-2|ferrari|1991|1991|Steve Nichols ; Pierguido Castelli ; Jean-Claude Migeot ; Gianfranco Ciampolini ; Paolo Massai|Carbon fibre composite monocoque|Double wishbones, push-rod actuated torsion bar springs and telescopic shock absorbers, anti-roll bar|Double wishbones, push-rod actuated coil springs over telescopic shock absorbers, anti-roll bar|Ferrari Tipo 037|65° V12|NA|mid-engine, longitudinally-mounted|Ferrari|7-speed||Agip||Goodyear|641|643|1991 United States Grand Prix|710-725 hp @ 13,800-14,500 rpm|3499|725|505|2830|1800|1800||6|0|0|2|2||
Ferrari 643|ferrari-643|ferrari|1991|1991|Steve Nichols ; Jean-Claude Migeot ; Gianfranco Ciampolini ; Paolo Massai|Carbon fibre composite monocoque|Double wishbones, push-rod actuated torsion bar springs, and telescopic shock absorbers, anti-roll bar|Double wishbones, push-rod actuated coil springs over telescopic shock absorbers, anti-roll bar|Ferrari Tipo 291|65° V12|NA|mid-engine, longitudinally-mounted|Ferrari Type 643|7-speed||Agip||Goodyear|642|F92A|1991 French Grand Prix|710 hp @ 13,800 rpm|3499|710||||||10|0|0|0|6||
Ferrari F1-2000|ferrari-f1-2000|ferrari|2000|2000|Ross Brawn ; Rory Byrne ; Giorgio Ascanelli ; Aldo Costa ; Marco Fainello ; Nikolas Tombazis ; James Allison ; Paolo Martinelli ; Gilles Simon|Carbon-fibre and honeycomb composite structure|Double-wishbone pushrod suspension|Double-wishbone pushrod suspension|mid-mounted Ferrari Tipo 049 (3.0L) 2,996.6 cc Normally Aspirated 90-degree V10||||Ferrari seven-speed longitudinal semi-automatic sequential|||Shell||Bridgestone|F399|F2001|2000 Australian Grand Prix|805-815 hp @ 17,300 RPM||815||||||17|10|10|5|21|1|1
Ferrari F1-75|ferrari-f1-75|ferrari|2022|2022|Enrico Cardile ; David Sanchez ; Fabio Montecchi ; Enrico Racca ; Tiziano Battistini ; Marco Adurno ; Diego Tondi ; Thomas Bouché ; Rory Byrne ; Enrico Gualtieri ; Wolf Zimmermann||Double wishbone push-rod|Double wishbone pull-rod|Ferrari Tipo 066/7 <hr>1.6 L direct injection V6 turbocharged engine limited to 15,000 RPM in a mid-mounted, rear-wheel drive layout||Turbo|Rear-mid mounted||8 forward + 1 reverse||Shell V-Power Unleaded E10|Shell Helix Ultra|Pirelli Cinturato (Wet/Treaded)|Ferrari SF21|Ferrari SF-23|2022 Bahrain Grand Prix|||||||||22|4|12|5|20||
Ferrari F1/86|ferrari-f1-86|ferrari|1986|1986|Harvey Postlethwaite (Technical Director); Jean-Claude Migeot (Chief Designer); Jean Jacques His (Chief Engine and Transmission Designer)|Carbon fibre and Aluminium honeycomb composite monocoque structure|Double wishbone, inboard spring / damper|Double wishbone suspension|Ferrari Tipo 032|120° V6|turbo|mid-engine, longitudinally-mounted|Ferrari Type 635|5-speed||Agip||Goodyear|156/85|F1/87|1986 Brazilian Grand Prix|850 hp @ 12,000 rpm (race-spec), 1250 hp+ @ 12,000 rpm (qualifying trim)|1496|850|548|2766|1807|1807||16|0|0|0|5||
Ferrari F1/87|ferrari-f1-87+ferrari-f1-87-88c|ferrari|1987|1988|John Barnard (Technical Director); Gustav Brunner (Chief Designer); Jean-Jacques His (Chief Engine Designer)|Kevlar and Carbon fibre composite monocoque|Double wishbones, pull-rod actuated coil springs over telescopic shock absorbers, anti-roll bar|Double wishbones, pull-rod actuated coil springs over telescopic shock absorbers, anti-roll bar|1987: mid-engine, longitudinally -mounted, 1496 cc, Ferrari Tipo 033, 90° V6, turbo, 4.0 bar turbo limited; 1988: mid-engine, longitudinally-mounted, 1496 cc, Ferrari Tipo 033A, 90° V6, turbo, 2.5 bar turbo limited||||Ferrari 638|6-speed||Agip||Goodyear|F1/86|640|1987 Brazilian Grand Prix|880-950 hp @ 11,500 rpm (1987) 650-720 hp @ 12,000 rpm (1988)||950||2800|1796|1796||32|3|4|7|14||
Ferrari F10|ferrari-f10|ferrari|2010|2010|Aldo Costa ; Nikolas Tombazis ; Marco Fainello ; Tiziano Battistini ; Simone Resta ; Marco de Luca ; Nicolas Hennel ; Luca Marmorini ; Lorenzo Sassi|carbon-fibre and honeycomb composite monocoque|Independent suspension, pushrod activated torsion springs|as front|Ferrari Tipo 056-2010|V8 (90°)|Naturally aspirated, 18,000 RPM limited|mid-mounted at a 3.5° angle|Ferrari|7 speeds + reverse||Shell V-Power ULG 66L/2 Fuel; Shell Helix Ultra Lubricant||Bridgestone; BBS Wheels (front and rear): 13"|Ferrari F60|Ferrari 150º Italia|2010 Bahrain Grand Prix||||620|||||19|5|2|5|15||
Ferrari F138|ferrari-f138|ferrari|2013|2013|Pat Fry ; Nikolas Tombazis ; Tiziano Battistini ; Simone Resta ; Nick Collett ; Giacomo Tortora ; Loïc Bigois ; Nicolas Hennel ; Luca Marmorini ; Guido di Paola|Carbon fibre and honeycomb composite structure|Independent suspension, pull-rod activated torsion springs|as front|Ferrari Tipo 056-2013|90° V8|Naturally aspirated, 18,000 RPM limited with KERS|mid-mounted.|Ferrari|7 forward + 1 reverse||Shell V-Power Fuel; Shell Helix Ultra Lubricant||Pirelli P Zero (dry), Cinturato (wet); OZ Wheels (front and rear): 13"|Ferrari F2012|Ferrari F14 T|2013 Australian Grand Prix||2398|||||||19|2|0|2|10||
Ferrari F14 T|ferrari-f14-t|ferrari|2014|2014|James Allison ; Pat Fry ; Nikolas Tombazis ; Tiziano Battistini ; Simone Resta ; Fabio Montecchi ; Nick Collett ; Giacomo Tortora ; Loïc Bigois ; Dirk de Beer ; Rory Byrne ; Luca Marmorini ; Mattia Binotto|Carbon fibre and honeycomb structure|Independent suspension, pull rod-activated torsion springs|Independent suspension, pull rod-activated torsion springs|Ferrari Tipo 059/3|V6|turbocharged, 15,000 RPM limited with ERS|Middle|Bespoke 8-speed semi-automatic|8- speed forward + reverse||Shell V-Power|Shell Helix Ultra|Pirelli P Zero (dry), Cinturato (wet)|Ferrari F138|Ferrari SF15-T|2014 Australian Grand Prix|600hp of V6 engine + 120kW of KERS||600|691|||||19|0|0|1|2||
Ferrari F2001|ferrari-f2001+ferrari-f2001b|ferrari|2001|2002|Ross Brawn ; Rory Byrne ; Ignazio Lunetta ; Aldo Costa ; Marco Fainello ; Roberto Dalla ; Nikolas Tombazis ; James Allison ; Paolo Martinelli ; Gilles Simon|Moulded carbon fibre & Honeycomb composite structure|Independent suspension, pushrod activated torsion springs|Independent suspension, pushrod activated torsion springs|Ferrari Tipo 050|90° V10|naturally-aspirated|mid-engine, rear-wheel-drive layout||7-speed semi-automatic sequential Limited-slip Differential gearbox + reverse|Carbon brake discs, pads and calipers|Shell Fuel|Shell Lubricant|Bridgestone Clear BBS Racing Wheels : 13"|F1-2000|F2002|2001 Australian Grand Prix|825 hp @ 17,300 rpm||825|600|||||20|10|13|3|26|2001|2001
Ferrari F2002|ferrari-f2002+ferrari-f2002b|ferrari|2002|2003|Ross Brawn ; Rory Byrne ; Ignazio Lunetta ; Aldo Costa ; Marco Fainello ; Roberto Dalla ; Nikolas Tombazis ; James Allison ; Paolo Martinelli ; Gilles Simon|Moulded carbon fibre & Honeycomb composite structure|Independent suspension, pushrod activated torsion springs|Independent suspension, pushrod activated torsion springs|Ferrari Tipo 051/B/C|90° V10|Naturally Aspirated|in a mid-mounted, rear-wheel-drive layout||7-speed semi-automatic sequential Limited-slip Differential gearbox + reverse|Carbon brake discs, pads and calipers|Shell Fuel|Shell Lubricant|Bridgestone Clear BBS Racing Wheels : 13"|F2001B|F2003-GA|2002 Brazilian Grand Prix|835 hp @ 17,800 rpm||835|600|||||19|15|11|15|28|2|2
Ferrari F2003-GA|ferrari-f2003-ga|ferrari|2003|2003|Ross Brawn ; Rory Byrne ; Ignazio Lunetta ; Aldo Costa ; Marco Fainello ; Roberto Dalla ; Nikolas Tombazis ; James Allison ; Paolo Martinelli ; Gilles Simon|Moulded carbon fibre & Honeycomb composite structure|Independent suspension, pushrod activated torsion springs|Independent suspension, pushrod activated torsion springs|Ferrari Tipo 052|V10 (90°)|Naturally Aspirated|in a mid-mounted, rear-wheel-drive layout||Ferrari 7-speed Semi-automatic Sequential Limited-slip Differential Gearbox + reverse|Carbon brake discs, pads and calipers|Shell Fuel|Shell Lubricant|Bridgestone Clear BBS Racing Wheels : 13"|F2002B|F2004|2003 Spanish Grand Prix|845 hp @ 18,300 rpm (race trim); 920-930 hp @ 18,600-19,000 rpm||845|600|||||12|7|5|5|13|1|1
Ferrari F2004|ferrari-f2004+ferrari-f2004m|ferrari|2004|2005|Ross Brawn ; Rory Byrne ; Ignazio Lunetta ; Aldo Costa ; Marco Fainello ; Roberto Dalla ; John Iley ; James Allison ; Paolo Martinelli ; Gilles Simon|Moulded carbon fibre and honeycomb composite structure|Independent suspension, pushrod activated torsion springs|Independent suspension, pushrod activated torsion springs|Ferrari Tipo 053|V10 (90°) (max: 18800 rpm)|naturally-aspirated|in a mid-mounted, rear-wheel drive layout|In-house Ferrari|7-speed + 1 reverse|Carbon brake discs, pads, and calipers|Shell Fuel|Shell Lubricant|Bridgestone clear BBS Racing Wheels : 13"|F2003-GA|F2005|2004 Australian Grand Prix|865 hp @ 18,300 rpm (race-spec); 900-940 hp @ 19,000 rpm (qualifying trim)||865|605|||||20|15|12|14|30|1|1
Ferrari F2005|ferrari-f2005|ferrari|2005|2005|Ross Brawn ; Rory Byrne ; Ignazio Lunetta ; Aldo Costa ; Marco Fainello ; Roberto Dalla ; John Iley ; Marco de Luca ; Paolo Martinelli ; Gilles Simon|Carbon/epoxy composite monocoque|Independent suspension, push-rod activated torsion springs|As front|Ferrari Tipo 055|90° V10|naturally-aspirated|mid-engined||7-speed||Shell V-Power Racing|Shell Helix|Bridgestone Potenza|F2004M|248 F1|2005 Bahrain Grand Prix|865 hp @ 18,300 rpm (race-spec); 900-940 hp @ 19,000 rpm (qualifying trim)||865||3050|1470|1470||17|1|1|3|8|0|0
Ferrari F2007|ferrari-f2007|ferrari|2007|2007|Mario Almondo ; Aldo Costa ; Nikolas Tombazis ; Marco Fainello ; Tiziano Battistini ; Simone Resta ; Roberto Dalla ; John Iley ; Marco de Luca ; Gilles Simon ; Lorenzo Sassi|Carbon-fibre and honeycomb composite monocoque|Zero-keel double wishbone, push-rod activated inboard spring/damper|Double wishbone suspension Independent suspension, torsion bars, Sachs rotary damper, Eibach springs|Ferrari Tipo 056-2007|90-degree V8|naturally-aspirated|mid-engine, longitudinally-mounted|Ferrari|7-speed transverse gearbox||Shell V-Power||Bridgestone|248 F1|F2008|2007 Australian Grand Prix|800 hp @ 19,000 RPM||800||||||17|9|9|12|22|1|1
Ferrari F2008|ferrari-f2008|ferrari|2008|2008|Mario Almondo ; Aldo Costa ; Nikolas Tombazis ; Marco Fainello ; Tiziano Battistini ; Simone Resta ; John Iley ; Marco de Luca ; Gilles Simon ; Lorenzo Sassi|carbon-fibre and honeycomb composite monocoque|Independent suspension, pushrod activated torsion springs|As front|Ferrari Tipo 056-2008|V8 (90°)|naturally-aspirated|mid-engine|Ferrari|7 speeds + reverse||Shell V-Power ULG 64 Fuel; Shell SL-1098 Lubricant||Bridgestone; BBS Wheels (front and rear): 13"|F2007|F60|2008 Australian Grand Prix|785 hp @ 19,000 rpm|2398|785|605|||||18|8|8|13|19|0|1
Ferrari F2012|ferrari-f2012|ferrari|2012|2012|Pat Fry ; Nikolas Tombazis ; Marco Fainello ; Tiziano Battistini ; Simone Resta ; Nicolas Hennel ; Luca Marmorini ; Guido di Paola|carbon-fibre and honeycomb composite monocoque|Independent suspension, pull-rod activated torsion springs|as front|Ferrari Tipo 056-2012|V8 (90°) 750 hp|Naturally aspirated, 18,000 RPM limited with KERS|mid-mounted|Ferrari|7 speeds + reverse||Shell V-Power ULG 66L/2 Fuel; Shell Helix Ultra Lubricant||Pirelli P Zero (dry), Cinturato (wet); OZ Wheels (front and rear): 13"|Ferrari 150º Italia|Ferrari F138|2012 Australian Grand Prix||2398||640|||||20|3|2|0|15||
Ferrari F300|ferrari-f300|ferrari|1998|1998|Ross Brawn ; Rory Byrne ; Giorgio Ascanelli ; Aldo Costa ; Willem Toet ; Nikolas Tombazis ; Paolo Martinelli ; Gilles Simon|Carbon-fibre and honeycomb composite structure|Double-wishbone pushrod suspension|Double-wishbone pushrod suspension|Ferrari Tipo 047/B/C 80-degree V10||||Ferrari seven-speed longitudinal semi-automatic sequential|||Shell||Goodyear|F310B|F399|1998 Australian Grand Prix|805 hp @ 17,300&nbsp;rpm||805||||||16|6|3|6|19|0|0
Ferrari F310|ferrari-f310+ferrari-f310b|ferrari|1996|1997|John Barnard; ; Ross Brawn; ; Gustav Brunner; ; Rory Byrne; ; Aldo Costa; ; Willem Toet; ; Tony Tyler; ; Nicoló Petrucci; ; Paolo Martinelli; ; Osamu Goto|carbon-fibre and honeycomb composite structure|Independent Push Rod Activated|Independent Push Rod Activated|1996: Ferrari Tipo 046 75-degree V10. ; 1997: Ferrari Tipo 046/2 75-degree V10.||||Ferrari Transverse sequential semi-automatic paddle-shift ; 1996: 6 Speed; 1997: 7 Speed|||Shell||Goodyear|412 T2|F300|1997 Australian Grand Prix (F310B)|715 hp @ 15,550 rpm.||715||2900||||33|8|7|5|22|0|0
Ferrari F399|ferrari-f399|ferrari|1999|1999|Ross Brawn ; Rory Byrne ; Giorgio Ascanelli ; Aldo Costa ; Marco Fainello ; Willem Toet ; Nikolas Tombazis ; Paolo Martinelli ; Gilles Simon|Carbon-fibre and honeycomb composite structure|Double-wishbone pushrod suspension|Double-wishbone pushrod suspension|Ferrari Tipo 048/B/C 80-degree V10||||Ferrari seven-speed longitudinal sequential semi-automatic|||Shell||Bridgestone|F300|F1-2000|1999 Australian Grand Prix|790 hp @ 16,300 rpm||790||||||16|6|3|6|17|0|1
Ferrari F60|ferrari-f60|ferrari|2009|2009|Mario Almondo ; Aldo Costa ; Nikolas Tombazis ; Marco Fainello ; Tiziano Battistini ; Simone Resta ; John Iley ; Marco de Luca ; Gilles Simon ; Lorenzo Sassi ; Gérald Brussoz|carbon-fibre and honeycomb composite monocoque|Independent suspension, pushrod activated torsion springs|As front|Ferrari Tipo 056-2009|V8 (90°) 18,000 RPM-Limited with KERS||Mid engine rear wheel drive|Ferrari|7 speeds + reverse||Shell V-Power ULG 66L/2 Fuel; Shell Lubricant||Bridgestone; BBS Wheels (front and rear): 13"|Ferrari F2008|Ferrari F10|2009 Australian Grand Prix||2398||605|||||17|1|0|1|6||
Ferrari F92A|ferrari-f92a+ferrari-f92at|ferrari|1992|1992|Steve Nichols ; Jean-Claude Migeot ; Gianfranco Ciampolini ; Paolo Massai|Carbon fibre monocoque|Double wishbones, torsion arms|Double wishbones, torsion arms|Ferrari Tipo 038 (E1 A-92)|65° V12|NA|mid-engine, longitudinally-mounted|Ferrari|6-speed (F92A); 7-speed (F92AT)||Agip||Goodyear|643|F93A|1992 South African Grand Prix|735 hp @ 14,800 rpm|3497|735||||||16|0|0|0|2||
Ferrari F93A|ferrari-f93a|ferrari|1993|1993|Valerio Bianchi ; Jean-Claude Migeot ; George Ryton ; Gianfranco Ciampolini ; Claudio Lombardi|Carbon fibre monocoque|Independent torsion arms, electronic actuators|Independent torsion arms, electronic actuators|Ferrari Tipo 041 (E2 A-93)|65° V12|NA|mid-engine, longitudinally mounted|Ferrari|6-speed||Agip||Goodyear|F92A|412 T1|1993 South African Grand Prix|745 hp @ 15,000 rpm|3497|745|505|2930|1690|1690||16|0|0|0|3|0|0
Ferrari SF-23|ferrari-sf-23|ferrari|2023|2023|Enrico Cardile ; David Sanchez ; Fabio Montecchi ; Enrico Racca ; Tiziano Battistini ; Marco Adurno ; Diego Tondi ; Thomas Bouché ; Rory Byrne ; Enrico Gualtieri|Carbon fibre composite with survival cell and honeycomb structure|Double wishbone push-rod. Öhlins dampers|Double wishbone pull-rod. Öhlins dampers|Ferrari 066/10|direct injection V6 turbocharged engine limited to 15,000 RPM in a|single-turbocharged|rear mid-mounted, rear-wheel drive layout|Ferrari|8 forward + 1 reverse|Brembo|Shell V-Power Nitro+ Racing 95 RON unleaded 90% + Shell V-Power Ethanol E10 10%|Shell Helix Ultra and Pennzoil Ultra Platinum (United States races only)|Pirelli Cinturato (Wet/Treaded)|Ferrari F1-75|Ferrari SF-24|2023 Bahrain Grand Prix|||||||||22|1|7|0|9||
Ferrari SF-24|ferrari-sf-24|ferrari|2024|2024|Enrico Cardile ; Fabio Montecchi ; Enrico Racca ; Tiziano Battistini ; Marco Adurno ; Diego Tondi ; Thomas Bouché ; Rory Byrne ; Enrico Gualtieri|Carbon fibre composite with survival cell and honeycomb structure|Double wishbone push-rod|Double wishbone pull-rod|Ferrari 066/12 <hr>1.6 L direct injection V6 turbocharged engine limited to 15,000 RPM in a mid-mounted, rear-wheel drive layout||Turbo|Rear-mid mounted||8 forward + 1 reverse||Shell V-Power|Shell Helix Ultra|Pirelli Cinturato (Wet/Treaded)|Ferrari SF-23|Ferrari SF-25|2024 Bahrain Grand Prix|||||||||24|5|4|4|22||
Ferrari SF-25|ferrari-sf-25|ferrari|2025|2025|Enrico Gualtieri|Carbon fibre composite with survival cell and honeycomb structure|Double wishbone pull-rod|Double wishbone pull-rod|Ferrari 066/15<hr>1.6 L direct injection V6 turbocharged engine limited to 15,000 RPM in a mid-mounted, rear-wheel drive layout||Turbo|Rear-mid mounted||8 forward + 1 reverse||Shell V-Power|Shell Helix Ultra|Pirelli Cinturato (Wet/Treaded)|Ferrari SF-24|Ferrari SF-26|2025 Australian Grand Prix|NNN hp||||||||24|0|1|2|7||
Ferrari SF-26|ferrari-sf-26|ferrari|2026|2026|Enrico Gualtieri|Carbon fibre composite with survival cell and honeycomb structure|Double wishbone push-rod|Double wishbone push-rod|Ferrari 067/6<hr>1.6 L direct injection V6 turbocharged engine limited to 15,000 RPM in a mid-mounted, rear-wheel drive layout||turbo|||8 forward + 1 reverse||Shell V-Power sustainable Ethanol|Shell Helix Ultra|Pirelli Cinturato (Wet/Treaded)|Ferrari SF-25||2026 Australian Grand Prix|NNN hp|||770|||||||||||
Ferrari SF1000|ferrari-sf1000|ferrari|2020|2020|Simone Resta Enrico Cardile Fabio Montecchi ; Andrea De Zordo ; Corrado Onorato ; Tiziano Battistini ; Giorgio Rossetti ; Maurzio Bocchi David Sanchez ; Enrico Gualtieri|Carbon fibre and honeycomb composite chassis, with halo fitted to the cockpit|Push-rod|Pull-rod|Ferrari 065|V6 90°||||||Shell V-Power|Shell Helix Ultra|Pirelli|Ferrari SF90|Ferrari SF21|2020 Austrian|||||||||17|0|0|0|3||
Ferrari SF15-T|ferrari-sf15-t|ferrari|2015|2015|James Allison ; Simone Resta ; Fabio Montecchi ; Andrea De Zordo ; Tiziano Battistini ; Nick Collett ; Giacomo Tortora ; Daniele Casanova ; Loïc Bigois ; Dirk de Beer ; Mattia Binotto ; Lorenzo Sassi|Carbon fibre and honeycomb composite structure|||Ferrari 060|V6|turbo|||Semi-automatic, sequential; 8 forward gears, 1 reverse gear||Shell V-Power|Shell Helix|Pirelli P Zero (dry), Cinturato (wet)|Ferrari F14 T|Ferrari SF16-H|2015 Australian Grand Prix|840-850 hp @ 10,800 rpm||850|702|||||19|3|1|3|16||
Ferrari SF16-H|ferrari-sf16-h|ferrari|2016|2016|James Allison ; Simone Resta ; Fabio Montecchi ; Andrea De Zordo ; Corrado Onorato ; Tiziano Battistini ; Nick Collett ; Giacomo Tortora ; Daniele Casanova ; Loïc Bigois ; Dirk de Beer ; Mattia Binotto ; Lorenzo Sassi|Carbon fibre and honeycomb composite structure|Push-rod|Pull-rod|Ferrari 061|direct injection V6 turbocharged engine, 900 hp limited to 15,000 rpm||in a mid-mounted, rear-wheel drive layout|Ferrari sequential shift gearbox with|8 forward gears, 1 reverse gear||Shell V-Power|||Ferrari SF15-T|Ferrari SF70H|2016 Australian Grand Prix||||702|||||21|0|0|4|11||
Ferrari SF21|ferrari-sf21|ferrari|2021|2021|Enrico Cardile ; Corrado Onorato ; Fabio Montecchi ; Tiziano Battistini ; Marco Adurno ; David Sanchez ; Enrico Gualtieri|Carbon fibre and honeycomb composite with halo protection device around the cockpit|Push-rod|Pull-rod|Ferrari 065/6|Direct injection turbocharged 90° V6 engine limited to 15,000 rpm||longitudinal mid-mounted, rear-wheel drive layout||8 forward gears and 1 reverse gear||Shell V-Power|Shell Helix Ultra|Pirelli|Ferrari SF1000|Ferrari F1-75|2021 Bahrain Grand Prix|||||||||22|0|2|0|5||
Ferrari SF70H|ferrari-sf70h|ferrari|2017|2017|Mattia Binotto Simone Resta ; Fabio Montecchi ; Andrea De Zordo ; Corrado Onorato ; Tiziano Battistini ; Giacomo Tortora ; Daniele Casanova Enrico Cardile David Sanchez Rory Byrne ; Lorenzo Sassi|Carbon fibre and honeycomb composite structure|||Ferrari 062|1.6L (1,600 cc, 98 cu in.) direct injection V6 turbocharged engine, limited to 15,000 rpm||in a mid-mounted, rear-wheel drive layout||Ferrari semi-automatic sequential longitudinal gearbox, 8 gears + RM||Shell V-Power||Pirelli P Zero (dry) tyres; Pirelli Cinturato (wet) tyres|Ferrari SF16-H|Ferrari SF71H|2017 Australian Grand Prix|950-1000 hp (708-746 kW)||1000||3594||||20|5|5|7|20||
Ferrari SF71H|ferrari-sf71h|ferrari|2018|2018|Mattia Binotto Simone Resta ; Fabio Montecchi ; Andrea De Zordo ; Corrado Onorato ; Tiziano Battistini ; Giacomo Tortora ; Daniele Casanova ; Enrico Cardile David Sanchez ; Corrado Iotti||||Ferrari 062 EVO|direct injection V6 turbocharged engine limited to 15,000 RPM||in a mid-mounted, rear-wheel drive layout||Eight forward and one reverse gears|Brembo ventilated and cross-drilled carbon ceramic discs|Shell V-Power|Shell Helix Ultra|Pirelli P Zero (dry); Pirelli Cinturato (wet); OZ forged magnesium wheels: 13"|Ferrari SF70H|Ferrari SF90|2018 Australian Grand Prix||||733|3621||||21|6|6|4|24||
Ferrari SF90|ferrari-sf90|ferrari|2019|2019|Mattia Binotto Enrico Cardile Fabio Montecchi ; Andrea De Zordo ; Corrado Onorato ; Giorgio Rossetti ; Tiziano Battistini ; Maurzio Bocchi ; Giacomo Tortora ; David Sanchez ; Enrico Gualtieri ; Corrado Iotti||Push-rod|Pull-rod|Ferrari 064|direct injection V6 turbocharged engine limited to 15,000 RPM||in a mid-mounted, rear-wheel drive layout||Eight forward and one reverse gears|Self-ventilating Brembo Carbon disc brakes (front and rear) with electronic control on rear brakes|Shell V-Power|Shell Helix Ultra|Pirelli P Zero (dry); Pirelli Cinturato (wet); OZ forged magnesium wheels: 13"|Ferrari SF71H|Ferrari SF1000|2019 Australian Grand Prix||||743|3652||||21|3|9|6|19||
Fittipaldi F5|fittipaldi-f5+fittipaldi-f5a|fittipaldi|1977|1979|Dave Baldwin (F5); Giacomo Caliri (F5A)|Aluminium alloy monocoque|Double wishbones, coil springs|Double wishbones, coil springs|Ford Cosworth DFV|V8|naturally aspirated|mid-mounted|Hewland FG400|6-speed (F5); 5-speed (F5A)||FINA (1977); Shell (1978–1979)||Goodyear|Fittipaldi FD04|Fittipaldi F6|1977 Belgian Grand Prix||2993||601|2616|1524|1524||37|0|0|0||0|0
Fittipaldi F6|fittipaldi-f6+fittipaldi-f6a|fittipaldi|1979|1979|Ralph Bellamy|Aluminium alloy monocoque|Double wishbones, coil springs|Double wishbones, coil springs|Ford Cosworth DFV|V8|naturally aspirated|mid-mounted|Hewland FGA 400|5-speed||Shell||Goodyear|Fittipaldi F5A|Fittipaldi F7|1979 South African Grand Prix||2993||582|2780|1524|1524||7|0|0|0||0|0
Fittipaldi FD|fittipaldi-fd01+fittipaldi-fd02+fittipaldi-fd03+fittipaldi-fd04|fittipaldi|1975|1977|Richard Divila|Aluminium alloy monocoque|||Ford Cosworth DFV|V8|naturally aspirated|mid-mounted|Hewland FG/FGA 400|6-speed||||Goodyear||Fittipaldi F5|1975 Argentine Grand Prix||2993||602|2341|1500|1500||37|0|0|0||0|0
Fondmetal GR01|fondmetal-gr01|fondmetal|1992|1992|Robin Herd (Technical Director) ; Tim Holloway (Chief Designer) ; Tino Belli (Head of Aerodynamics)|carbon fibre monocoque|double wishbones, pushrods|as front|Ford HBA5|V8|naturally-aspirated|mid-engined||||Agip||Goodyear|Fondmetal Fomet 1|Fondmetal GR02|1992 South African Grand Prix|660 hp @ 12,000 rpm|3497|660||||||8|0|0|0|||
Fondmetal GR02|fondmetal-gr02|fondmetal|1992|1992|Sergio Rinland (Technical Director); Hans Fouche (Head of Aerodynamics)|carbon fibre monocoque|KONI dampers with pushrods|KONI dampers with pushrods|Ford HBA5|V8|naturally-aspirated|mid-engined|Xtrac|6-speed||Agip||Goodyear|Fondmetal GR01||1992 Canadian Grand Prix|660 hp @ 12,000 rpm|3498|660||2875|1800|1800||7|0|0|0|||
Footwork FA12|footwork-fa12+footwork-fa12c|footwork|1991|1991|Alan Jenkins (Technical Director); Dave Amey (Chief Designer)|Carbon fibre and Kevlar monocoque|||FA12: mid-engine, longitudinally-mounted, 3499 cc, Porsche 3512, 80° V12, NA; FA12C: mid-engine, longitudinally-mounted, 3493 cc, Ford DFR, 90° V8, NA||||Hewland Transverse|6-speed||Shell||Goodyear|Arrows A11C|FA13|1991 San Marino Grand Prix|680 hp @ 13,000 rpm (FA12 Porsche V-12), 620-630 hp @ 11,250 rpm (FA12C Ford-Cosworth V-8)||680||||||14|0|0|0||0|0
Footwork FA16|footwork-fa16|footwork|1995|1995|Alan Jenkins ; Dave Amey ; Dominic Smith|Carbon fibre and honeycomb composite structure|Double wishbones, pushrod|Double wishbones, pushrod|Hart 830|V8|NA|mid-engine, longitudinally-mounted|Arrows / Xtrac|6-speed||Sasol||Goodyear|FA15|FA17|1995 Brazilian Grand Prix|680 hp @ 13,100 rpm|2996|680||||||17|0|0|0|1|0|0
Footwork FA17|footwork-fa17|footwork|1996|1996|Alan Jenkins (Technical Director); Dave Amey (Chief Designer); Simon Jennings (Head of Aerodynamics)|carbon-fibre and honeycomb composite structure|pushrod, wishbones|pushrod, wishbones|Hart 830 72-degree V8||||Arrows six-speed longitudinal semi-automatic|||Castrol||Goodyear|FA16|Arrows A18|1996 Australian Grand Prix|680 hp @ 13,100 rpm||680||||||16|0|0|0||0|0
Force India VJM02|force-india-vjm02|force-india|2009|2009|James Key ; Mark Smith ; Ian Hall ; Bruce Eddington ; Daniel Carpenter ; Simon Gardner ; Richard Frith ; Simon Phillips ; Simon Belcher|Carbon fibre composite monocoque with Zylon legality side anti-intrusion panels.|Aluminium MMC uprights with carbon fibre composite wishbones, trackrod and pushrod. Inboard chassis mounted torsion springs, dampers and anti-roll bar assembly.|Aluminium MMC uprights with carbon fibre composite wishbones, trackrod and pushrod. Inboard gearbox mounted torsion springs, dampers and anti-roll bar assembly.|Mercedes-Benz FO 108W|V8|naturally aspirated|mid-mounted|McLaren|7 forward gears + 1 reverse||Mobil High Performance Unleaded (5.75% bio fuel)|Mobil 1 – for higher performance, lower friction and better wear resistance|Bridgestone with Forged wheels to Force India specification|Force India VJM01|Force India VJM03|2009 Australian Grand Prix||||605|3200|1480|1480||17|0|1|1|1||
